 ,Area,Mean,StdDev,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,0.004600,87.635266,22.030241,2.163333,0.756667,0.083333,0.070000,0.082949,0.070608,2.767191,0.939196,1.174778,0.851224,0.953917
2,0.003156,68.718310,38.736560,2.560000,0.786667,0.060000,0.066667,0.072363,0.055523,51.261203,0.863612,1.303302,0.767282,0.922078
3,0.003867,88.747126,31.157948,1.953333,0.886667,0.066667,0.073333,0.072746,0.067676,93.455165,0.893972,1.074911,0.930310,0.920635
4,0.003956,65.528090,38.519091,1.806667,1.080000,0.060000,0.080000,0.080710,0.062401,92.390028,0.884638,1.293405,0.773153,0.931937
5,0.004178,81.529255,32.680419,2.970000,1.096667,0.070000,0.080000,0.077993,0.068203,102.322416,0.915498,1.143546,0.874473,0.945912
6,0.004444,97.630000,35.710520,2.646667,1.200000,0.080000,0.073333,0.080232,0.070531,16.563583,0.852888,1.137531,0.879097,0.904977
7,0.005467,72.097561,31.884316,2.226667,1.266667,0.086667,0.086667,0.092488,0.075257,35.005532,0.874492,1.228970,0.813690,0.914498
8,0.003333,92.773333,42.125652,1.806667,1.280000,0.066667,0.073333,0.072560,0.058491,131.606417,0.797148,1.240528,0.806109,0.872093
9,0.004789,74.000000,0.000000,1.370000,1.376667,0.080000,0.090000,0.086753,0.070284,42.156965,0.643530,1.234315,0.810166,0.867203
10,0.002978,84.552239,35.561324,2.520000,1.473333,0.066667,0.053333,0.068528,0.055327,4.612377,0.891699,1.238607,0.807358,0.930556
11,0.004133,72.731183,38.320296,3.026667,1.486667,0.066667,0.073333,0.079052,0.066573,57.210383,0.894675,1.187438,0.842149,0.944162
12,0.003833,75.252174,13.388977,2.783333,1.560000,0.060000,0.076667,0.078624,0.062077,86.754833,0.907639,1.266540,0.789553,0.954357
13,0.003556,84.725000,40.411667,2.206667,1.566667,0.066667,0.066667,0.068689,0.065907,36.792959,0.892792,1.042214,0.959496,0.924855
14,0.003511,68.696203,37.215581,2.020000,1.606667,0.060000,0.073333,0.071700,0.062350,95.822142,0.913239,1.149976,0.869584,0.929412
15,0.002933,77.242424,39.865577,1.333333,1.620000,0.066667,0.066667,0.067706,0.055162,149.866232,0.790810,1.227404,0.814728,0.862745
16,0.003778,71.364706,41.683127,1.113333,1.686667,0.073333,0.073333,0.076889,0.062558,46.645890,0.861425,1.229080,0.813617,0.899471
17,0.004178,74.723404,42.495089,1.573333,1.740000,0.080000,0.073333,0.081497,0.065270,33.246199,0.801714,1.248600,0.800897,0.890995
18,0.004311,78.469072,39.655644,2.940000,1.740000,0.073333,0.080000,0.080023,0.068594,109.333031,0.853142,1.166611,0.857184,0.898148
19,0.004667,92.638095,32.899100,2.433333,1.773333,0.080000,0.073333,0.081345,0.073045,143.980706,0.843270,1.113628,0.897966,0.917031
20,0.002844,85.984375,38.179963,2.180000,1.920000,0.060000,0.060000,0.065211,0.055537,121.276031,0.885201,1.174196,0.851647,0.927536
21,0.003689,75.373494,40.371600,3.113333,1.920000,0.073333,0.066667,0.074454,0.063084,150.718664,0.852870,1.180247,0.847280,0.902174
