 ,Area,Mean,StdDev,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,0.003322,67.000000,0.000000,3.030000,1.173333,0.053333,0.076667,0.079618,0.053129,105.562851,0.886237,1.498585,0.667296,0.956800
2,0.003022,52.955882,47.339999,2.666667,1.320000,0.060000,0.066667,0.065939,0.058358,63.029929,0.858115,1.129906,0.885030,0.894737
3,0.003044,27.000000,0.000000,2.270000,1.383333,0.070000,0.053333,0.070338,0.055109,3.131532,0.939860,1.276341,0.783490,0.951389
4,0.003733,67.883929,11.439976,1.690000,1.486667,0.083333,0.063333,0.082859,0.057368,12.841569,0.837304,1.444340,0.692358,0.925620
5,0.003822,78.709302,36.337218,3.253333,1.546667,0.066667,0.073333,0.077492,0.062801,52.601040,0.854819,1.233924,0.810423,0.914894
6,0.004178,78.521277,39.067457,2.946667,1.553333,0.066667,0.080000,0.082054,0.064827,69.787659,0.801714,1.265751,0.790045,0.899522
7,0.003200,85.875000,39.767245,2.360000,1.666667,0.060000,0.073333,0.072896,0.055893,73.780861,0.803513,1.304223,0.766740,0.888889
8,0.003378,77.500000,37.542847,1.940000,1.720000,0.066667,0.073333,0.073516,0.058501,106.682121,0.796495,1.256658,0.795761,0.883721
9,0.003956,69.089888,50.322597,1.686667,1.740000,0.080000,0.066667,0.082597,0.060975,150.653876,0.844813,1.354599,0.738226,0.908163
10,0.003644,87.353659,40.817149,3.673333,1.760000,0.080000,0.060000,0.076894,0.060346,172.326957,0.871548,1.274226,0.784790,0.916201
11,0.003333,82.266667,41.927261,3.253333,1.813333,0.066667,0.073333,0.075851,0.055954,126.768121,0.797148,1.355606,0.737677,0.882353
12,0.003467,82.705128,41.189737,2.826667,1.826667,0.086667,0.060000,0.077265,0.057127,16.427861,0.790485,1.352530,0.739355,0.876404
13,0.003689,71.313253,42.868993,2.420000,1.953333,0.066667,0.073333,0.077533,0.060578,56.295081,0.882177,1.279885,0.781320,0.922222
14,0.003867,71.643678,47.763099,1.620000,2.046667,0.080000,0.066667,0.077479,0.063542,16.827110,0.853076,1.219339,0.820116,0.896907
15,0.003556,72.275000,46.091901,2.633333,2.093333,0.066667,0.066667,0.071673,0.063163,45.791298,0.924799,1.134722,0.881273,0.930233
16,0.003267,27.000000,0.000000,2.126667,2.110000,0.076667,0.056667,0.073426,0.056645,2.741157,0.880674,1.296240,0.771462,0.928910
17,0.003122,27.644128,10.797555,1.816667,2.120000,0.073333,0.056667,0.071186,0.055844,0.716383,0.700246,1.274732,0.784479,0.904992
18,0.004711,83.056604,42.864530,1.353333,2.146667,0.086667,0.073333,0.085805,0.069907,162.265947,0.840953,1.227417,0.814719,0.902128
19,0.003300,75.824916,23.028104,3.536667,2.173333,0.076667,0.060000,0.074531,0.056375,162.077908,0.867332,1.322073,0.756388,0.926677
20,0.003289,67.000000,0.000000,3.166667,2.180000,0.056667,0.073333,0.075288,0.055620,108.553747,0.893346,1.353617,0.738761,0.945687
21,0.003733,90.000000,34.908152,2.400000,2.286667,0.066667,0.073333,0.075764,0.062740,73.536069,0.863145,1.207585,0.828099,0.908108
22,0.003333,87.053333,36.828771,2.813333,2.400000,0.066667,0.066667,0.067749,0.062645,152.737666,0.898647,1.081474,0.924664,0.909091
23,0.003778,67.000000,0.000000,1.636667,2.406667,0.070000,0.073333,0.077399,0.062146,126.809256,0.897092,1.245440,0.802929,0.936639
24,0.003767,72.843658,10.967504,2.126667,2.436667,0.083333,0.056667,0.084720,0.056608,176.338210,0.885625,1.496598,0.668182,0.948252
25,0.002756,86.887097,38.545249,3.480000,2.480000,0.073333,0.053333,0.067412,0.052045,18.209040,0.843897,1.295257,0.772048,0.898551
26,0.003422,68.922078,16.783555,2.603333,2.493333,0.070000,0.073333,0.078584,0.055448,46.040087,0.870787,1.417273,0.705580,0.920777
27,0.002778,27.000000,0.000000,3.980000,2.516667,0.066667,0.056667,0.069494,0.050893,29.294286,0.909589,1.365484,0.732341,0.938086
28,0.003378,84.473684,40.234453,1.920000,2.586667,0.073333,0.060000,0.075246,0.057155,27.263684,0.807776,1.316530,0.759572,0.904762
29,0.003778,67.000000,0.000000,1.516667,2.600000,0.060000,0.083333,0.081165,0.059262,76.554833,0.882055,1.369595,0.730143,0.940526
30,0.003111,72.000000,0.000000,3.413333,2.680000,0.076667,0.056667,0.074595,0.053103,165.105014,0.869924,1.404736,0.711878,0.927152
