 ,Area,Mean,StdDev,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,0.003600,60.000000,0.000000,3.240000,1.416667,0.073333,0.063333,0.076605,0.059835,156.977966,0.929505,1.280272,0.781084,0.951542
2,0.004533,89.656863,39.845524,3.033333,1.520000,0.080000,0.073333,0.079945,0.072200,172.746889,0.819177,1.107264,0.903127,0.902655
3,0.004089,95.260870,33.114406,2.900000,1.666667,0.073333,0.080000,0.077155,0.067476,99.528507,0.765187,1.143451,0.874546,0.880383
4,0.003200,83.430556,46.631128,3.506667,1.680000,0.060000,0.066667,0.067244,0.060591,113.490125,0.862702,1.109801,0.901062,0.917197
5,0.004222,86.673684,35.976669,4.026667,1.686667,0.073333,0.080000,0.080604,0.066695,90.160341,0.810243,1.208533,0.827449,0.887850
6,0.003911,80.625000,38.767129,3.300000,1.826667,0.073333,0.073333,0.081241,0.061297,47.793409,0.835320,1.325367,0.754508,0.902564
7,0.003956,75.910112,40.921675,3.493333,1.840000,0.080000,0.066667,0.080002,0.062953,171.500725,0.844813,1.270819,0.786894,0.898990
8,0.003967,33.072829,14.313318,4.123333,1.896667,0.060000,0.083333,0.083186,0.060714,80.980137,0.895747,1.370126,0.729860,0.945695
9,0.003300,33.976431,19.598748,4.386667,2.050000,0.066667,0.066667,0.069269,0.060658,51.801084,0.922741,1.141952,0.875694,0.935433
10,0.004000,82.300000,37.668381,3.833333,2.080000,0.073333,0.066667,0.076705,0.066397,26.746365,0.865814,1.155239,0.865622,0.923077
11,0.004800,85.009259,39.358073,3.280000,2.093333,0.080000,0.080000,0.082943,0.073684,127.290061,0.856820,1.125654,0.888373,0.907563
12,0.003556,65.487500,48.057174,3.960000,2.100000,0.066667,0.073333,0.073416,0.061663,111.298038,0.850291,1.190600,0.839913,0.893855
13,0.003333,61.473333,14.684051,3.436667,2.110000,0.070000,0.056667,0.072332,0.058676,6.043299,0.912266,1.232734,0.811205,0.953895
14,0.002700,60.000000,0.000000,3.030000,2.120000,0.063333,0.063333,0.063061,0.054515,67.158519,0.647581,1.156761,0.864483,0.883636
15,0.004044,68.068681,34.196374,2.320000,2.126667,0.080000,0.060000,0.083096,0.061971,7.278728,0.875434,1.340887,0.745775,0.938144
16,0.003044,91.000000,0.000000,3.650000,2.193333,0.073333,0.053333,0.072298,0.053616,175.945799,0.914652,1.348440,0.741598,0.943201
17,0.003956,77.719101,43.953622,3.773333,2.206667,0.080000,0.066667,0.080866,0.062280,22.371787,0.844813,1.298418,0.770168,0.912821
18,0.003000,63.233333,21.499918,3.050000,2.253333,0.060000,0.063333,0.064651,0.059082,70.329278,0.926140,1.094249,0.913869,0.939130
19,0.003867,93.091954,33.642169,3.166667,2.260000,0.066667,0.073333,0.078067,0.063064,126.751109,0.864758,1.237903,0.807818,0.925532
20,0.003333,68.200000,44.200819,2.886667,2.320000,0.066667,0.060000,0.067876,0.062528,171.699621,0.912266,1.085536,0.921204,0.931677
21,0.003644,62.000000,0.000000,2.726667,2.386667,0.070000,0.073333,0.077002,0.060261,54.098004,0.895579,1.277808,0.782590,0.941176
22,0.004222,76.576316,41.277323,3.453333,2.440000,0.066667,0.086667,0.082298,0.065322,78.974861,0.835551,1.259873,0.793731,0.896226
23,0.003578,66.354037,29.849656,3.203333,2.450000,0.063333,0.070000,0.071505,0.063707,108.972295,0.930579,1.122413,0.890937,0.954074
24,0.004000,86.044444,37.610498,2.386667,2.453333,0.066667,0.073333,0.073089,0.069681,86.232949,0.865814,1.048906,0.953374,0.927835
25,0.003689,80.566265,41.950681,4.166667,2.486667,0.080000,0.066667,0.074537,0.063014,13.935945,0.841157,1.182864,0.845406,0.882979
26,0.004089,78.293478,39.561503,4.293333,2.526667,0.080000,0.066667,0.081066,0.064221,161.363742,0.873290,1.262294,0.792209,0.924623
27,0.003767,62.000000,0.000000,2.753333,2.530000,0.080000,0.060000,0.078612,0.061007,0.080596,0.916321,1.288575,0.776051,0.949580
28,0.003867,87.908046,36.454585,3.746667,2.540000,0.066667,0.073333,0.077556,0.063479,58.421030,0.924691,1.221755,0.818494,0.940541
29,0.003733,81.035714,32.387374,3.253333,2.600000,0.060000,0.073333,0.075670,0.062818,83.791277,0.905540,1.204605,0.830147,0.943820
30,0.004267,74.958333,37.383879,3.553333,2.600000,0.066667,0.080000,0.080004,0.067902,90.000000,0.855292,1.178227,0.848733,0.918660
31,0.003789,60.000000,0.000000,2.973333,2.686667,0.066667,0.073333,0.075136,0.064206,64.765773,0.803847,1.170242,0.854524,0.927891
32,0.003289,72.959459,43.559409,2.773333,2.693333,0.073333,0.060000,0.070966,0.059008,11.320273,0.855439,1.202649,0.831498,0.896970
33,0.003333,86.613333,40.585314,3.840000,2.706667,0.080000,0.060000,0.076715,0.055323,18.372083,0.825018,1.386671,0.721151,0.887574
34,0.004000,74.977778,39.514033,3.146667,2.746667,0.073333,0.073333,0.078016,0.065281,51.445643,0.854305,1.195068,0.836772,0.909091
35,0.003778,65.329412,43.169799,3.266667,2.813333,0.073333,0.066667,0.072267,0.066559,5.601285,0.873421,1.085756,0.921017,0.913978
36,0.004089,80.228261,37.797713,3.553333,2.826667,0.073333,0.073333,0.081547,0.063842,145.525025,0.845835,1.277324,0.782886,0.910891
37,0.003700,62.135135,17.320240,2.960000,2.853333,0.083333,0.060000,0.079049,0.059596,174.455630,0.909232,1.326416,0.753912,0.946023
38,0.004533,76.735294,40.624106,3.020000,2.960000,0.080000,0.080000,0.084149,0.068593,141.437050,0.859051,1.226783,0.815140,0.902655
39,0.003733,72.023810,43.334444,2.846667,2.966667,0.073333,0.066667,0.075987,0.062556,156.674669,0.863145,1.214698,0.823250,0.903226
40,0.003467,78.961538,39.009090,2.600000,2.980000,0.066667,0.073333,0.071067,0.062109,91.090509,0.801492,1.144222,0.873957,0.876404
41,0.003511,86.772152,37.851825,3.160000,3.000000,0.066667,0.073333,0.071944,0.062138,109.128167,0.839662,1.157802,0.863705,0.882682
42,0.004000,86.855556,39.773890,4.080000,3.126667,0.066667,0.073333,0.077237,0.065940,64.863035,0.924799,1.171322,0.853736,0.942408
43,0.003522,61.810726,16.047659,3.393333,3.150000,0.063333,0.070000,0.070686,0.063444,75.711344,0.949571,1.114149,0.897546,0.950525
44,0.003778,78.458824,39.400089,3.260000,3.186667,0.073333,0.066667,0.076792,0.062637,37.798271,0.873421,1.225994,0.815665,0.928962
45,0.002333,32.000000,0.000000,2.763333,3.206667,0.046667,0.063333,0.062375,0.047629,76.428153,0.935476,1.309593,0.763596,0.939597
46,0.004089,90.347826,34.671344,3.113333,3.206667,0.073333,0.080000,0.081666,0.063749,65.163868,0.834841,1.281046,0.780612,0.893204
47,0.003733,77.071429,35.268788,3.620000,3.280000,0.073333,0.066667,0.074819,0.063532,29.602629,0.863145,1.177649,0.849150,0.913043
48,0.002856,37.416342,30.276619,3.516667,3.306667,0.053333,0.063333,0.065225,0.055742,87.008612,0.950693,1.170119,0.854614,0.958955
49,0.003867,65.540230,23.112707,3.353333,3.376667,0.063333,0.076667,0.079255,0.062118,103.953020,0.924691,1.275883,0.783771,0.953425
50,0.003500,61.069841,13.405064,3.163333,3.596667,0.076667,0.060000,0.073244,0.060842,176.434526,0.919898,1.203838,0.830676,0.945946
