 ,Area,Mean,StdDev,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,0.003822,89.162791,30.169535,2.420000,1.306667,0.066667,0.073333,0.074303,0.065497,63.888188,0.883696,1.134444,0.881489,0.924731
2,0.003822,90.837209,30.957833,3.006667,1.500000,0.066667,0.073333,0.077567,0.062741,62.823000,0.883696,1.236310,0.808859,0.924731
3,0.003556,25.587500,10.509519,2.656667,1.520000,0.063333,0.070000,0.073735,0.061396,64.980266,0.784437,1.200976,0.832656,0.941176
4,0.003689,64.072289,37.619107,2.346667,1.573333,0.073333,0.066667,0.073755,0.063682,148.456272,0.852870,1.158172,0.863430,0.902174
5,0.003600,73.012346,37.679270,3.413333,1.646667,0.073333,0.066667,0.074125,0.061837,148.964066,0.794243,1.198721,0.834223,0.890110
6,0.003600,77.444444,39.773663,3.706667,1.720000,0.066667,0.073333,0.071839,0.063804,96.860389,0.860919,1.125930,0.888154,0.895028
7,0.003911,93.795455,36.064886,2.106667,1.733333,0.080000,0.066667,0.078997,0.063038,27.208326,0.891829,1.253170,0.797976,0.916667
8,0.004178,87.861702,30.657367,3.013333,1.773333,0.080000,0.080000,0.079296,0.067082,51.398672,0.816243,1.182077,0.845968,0.878505
9,0.003644,60.743902,33.473276,2.700000,1.813333,0.073333,0.060000,0.075882,0.061151,14.299812,0.883980,1.240907,0.805862,0.931818
10,0.003600,55.913580,40.416775,2.426667,1.840000,0.066667,0.073333,0.077590,0.059075,52.780638,0.891020,1.313420,0.761371,0.920455
11,0.003600,70.716049,38.955793,3.240000,1.993333,0.066667,0.060000,0.072238,0.063453,160.321431,0.917168,1.138452,0.878386,0.964286
12,0.003244,68.369863,43.923553,3.900000,2.053333,0.066667,0.060000,0.069577,0.059373,3.197935,0.887939,1.171866,0.853340,0.924051
13,0.003767,25.000000,0.000000,1.586667,2.066667,0.073333,0.066667,0.078007,0.061480,146.352762,0.916321,1.268817,0.788136,0.954930
14,0.003600,77.419753,34.736644,2.640000,2.093333,0.073333,0.066667,0.073274,0.062555,11.065403,0.832319,1.171363,0.853706,0.900000
15,0.003333,75.906667,34.338926,2.186667,2.126667,0.060000,0.066667,0.070408,0.060279,117.706130,0.879902,1.168048,0.856129,0.937500
