 ,Area,Mean,StdDev,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,0.004178,78.425532,38.767268,2.313333,0.900000,0.066667,0.080000,0.076962,0.069116,106.842829,0.892274,1.113530,0.898045,0.926108
2,0.003778,75.376471,46.259745,2.906667,1.040000,0.073333,0.066667,0.075480,0.063726,153.402642,0.833465,1.184450,0.844273,0.909091
3,0.004133,76.290323,37.750088,2.580000,1.193333,0.066667,0.086667,0.081276,0.064751,100.476540,0.783252,1.255216,0.796675,0.894231
4,0.003644,81.231707,40.512708,2.106667,1.213333,0.066667,0.066667,0.075642,0.061345,45.000000,0.915112,1.233065,0.810987,0.937143
5,0.003644,88.475610,37.761274,1.686667,1.273333,0.073333,0.060000,0.076125,0.060956,177.768926,0.854410,1.248850,0.800737,0.926554
6,0.003467,76.153846,33.602969,2.980000,1.366667,0.060000,0.073333,0.073246,0.060261,94.971222,0.870473,1.215469,0.822728,0.917647
7,0.003689,72.759036,45.014289,2.493333,1.426667,0.080000,0.066667,0.076874,0.061098,177.310965,0.813854,1.258218,0.794775,0.882979
8,0.003011,70.276753,21.816936,2.660000,1.446667,0.076667,0.053333,0.073420,0.052219,7.581397,0.880694,1.406007,0.711234,0.932874
9,0.004356,79.714286,42.211985,1.853333,1.460000,0.080000,0.080000,0.081002,0.068463,135.647568,0.777485,1.183146,0.845204,0.882883
10,0.003600,67.000000,0.000000,3.556667,1.553333,0.080000,0.060000,0.077707,0.058987,16.286029,0.860919,1.317364,0.759092,0.933718
11,0.003689,68.072289,42.241367,2.033333,1.560000,0.066667,0.080000,0.074223,0.063280,80.437473,0.787859,1.172925,0.852570,0.878307
12,0.003956,79.955056,41.651244,3.246667,1.620000,0.080000,0.066667,0.078706,0.063989,169.126516,0.818253,1.229995,0.813011,0.894472
13,0.003644,85.292683,43.642834,2.753333,1.673333,0.073333,0.066667,0.076638,0.060548,26.402356,0.871548,1.265745,0.790049,0.906077
14,0.003600,67.530864,40.578811,1.446667,1.680000,0.073333,0.066667,0.078425,0.058446,27.983960,0.768875,1.341841,0.745245,0.895028
15,0.003333,74.476667,37.543947,2.446667,1.686667,0.060000,0.073333,0.070871,0.059885,81.756568,0.836993,1.183452,0.844986,0.898204
16,0.003956,40.573034,36.158925,2.133333,1.786667,0.073333,0.070000,0.073765,0.068276,146.450843,0.939308,1.080396,0.925586,0.945551
17,0.003733,81.214286,46.837177,1.680000,1.840000,0.066667,0.073333,0.070534,0.067392,83.363955,0.863145,1.046615,0.955461,0.903226
18,0.003467,86.282051,42.919770,1.960000,1.886667,0.066667,0.066667,0.068241,0.064681,66.473616,0.870473,1.055054,0.947819,0.912281
19,0.004000,33.000000,0.000000,2.603333,1.933333,0.080000,0.060000,0.081993,0.062114,4.555925,0.924799,1.320044,0.757551,0.958722
20,0.004133,91.559140,37.710334,3.173333,1.933333,0.073333,0.073333,0.075838,0.069395,100.081918,0.828564,1.092845,0.915043,0.902913
21,0.003733,33.000000,0.000000,2.300000,1.956667,0.080000,0.060000,0.080158,0.059301,169.016525,0.892805,1.351714,0.739801,0.945148
22,0.003844,33.000000,0.000000,2.880000,2.006667,0.083333,0.060000,0.083624,0.058534,169.000996,0.882699,1.428631,0.699971,0.949246
23,0.003689,79.228916,43.188150,1.286667,2.106667,0.073333,0.066667,0.075102,0.062540,5.660900,0.852870,1.200872,0.832728,0.902174
24,0.004189,67.748011,10.256168,2.390000,2.133333,0.063333,0.083333,0.083104,0.064178,84.669593,0.909227,1.294909,0.772255,0.953224
25,0.003867,100.356322,39.035926,3.366667,2.153333,0.073333,0.066667,0.079970,0.061563,35.732487,0.864758,1.299002,0.769822,0.925532
26,0.004667,84.057143,39.728873,1.593333,2.186667,0.086667,0.066667,0.089035,0.066736,9.251126,0.843270,1.334138,0.749548,0.929204
27,0.003678,69.129909,17.224315,2.183333,2.196667,0.063333,0.073333,0.074556,0.062808,67.736124,0.879519,1.187039,0.842432,0.935028
28,0.003511,85.569620,35.061736,3.140000,2.233333,0.060000,0.073333,0.076861,0.058163,100.266432,0.851639,1.321461,0.756738,0.918605
29,0.003522,67.858044,10.785394,2.703333,2.256667,0.066667,0.066667,0.075450,0.059438,137.499269,0.916129,1.269388,0.787781,0.954819
30,0.003567,33.000000,0.000000,1.900000,2.316667,0.076667,0.066667,0.076506,0.059358,144.342974,0.657513,1.288889,0.775862,0.906780
31,0.002933,74.196970,39.589613,2.640000,2.393333,0.060000,0.060000,0.062667,0.059598,10.359685,0.912863,1.051501,0.951022,0.929577
32,0.003256,77.000000,0.000000,1.730000,2.446667,0.066667,0.063333,0.066853,0.062003,139.589062,0.840571,1.078223,0.927452,0.925750
33,0.004089,77.978261,39.386571,2.273333,2.460000,0.086667,0.066667,0.081921,0.063550,17.026755,0.809165,1.289079,0.775747,0.888889
34,0.003333,69.613333,38.274101,1.433333,2.560000,0.060000,0.066667,0.070842,0.059910,61.623307,0.849230,1.182477,0.845683,0.931677
35,0.003822,77.000000,0.000000,2.673333,2.586667,0.080000,0.060000,0.080360,0.060560,12.988373,0.929836,1.326939,0.753614,0.955556
36,0.003400,77.000000,0.000000,3.673333,2.640000,0.076667,0.060000,0.076925,0.056276,15.471652,0.662531,1.366919,0.731572,0.921687
37,0.004222,77.678947,9.346289,2.093333,2.646667,0.063333,0.086667,0.085862,0.062611,93.143816,0.881580,1.371362,0.729202,0.944099
38,0.003822,87.790698,36.934144,2.460000,2.666667,0.073333,0.073333,0.077882,0.062487,51.106865,0.816336,1.246367,0.802332,0.882051
39,0.004044,85.538462,37.869810,3.040000,2.666667,0.066667,0.080000,0.077573,0.066383,104.030805,0.836641,1.168559,0.855755,0.905473
40,0.003533,33.000000,0.000000,1.886667,2.730000,0.080000,0.056667,0.079874,0.056323,167.207122,0.865708,1.418144,0.705147,0.942222
41,0.004444,91.090000,37.525756,1.253333,2.766667,0.073333,0.073333,0.079896,0.070827,132.589688,0.919386,1.128043,0.886491,0.938967
42,0.004711,84.377358,37.865122,2.200000,2.880000,0.086667,0.080000,0.084970,0.070594,145.149131,0.807007,1.203642,0.830812,0.876033
43,0.004222,77.757895,43.436477,1.513333,2.906667,0.066667,0.080000,0.080303,0.066945,69.822262,0.873416,1.199533,0.833658,0.922330
44,0.003267,68.006803,12.185986,2.860000,2.913333,0.060000,0.076667,0.073062,0.056927,104.167200,0.789059,1.283426,0.779164,0.917317
45,0.004578,77.349515,38.071187,1.873333,2.920000,0.080000,0.080000,0.083845,0.069516,48.556141,0.841749,1.206123,0.829103,0.903509
46,0.004400,87.181818,36.583835,3.180000,2.926667,0.073333,0.080000,0.082753,0.067699,118.475649,0.844359,1.222367,0.818085,0.908257
47,0.004356,75.979592,40.651719,2.646667,3.026667,0.073333,0.080000,0.080726,0.068697,55.612330,0.861937,1.175100,0.850991,0.903226
48,0.004578,85.524272,37.966779,2.186667,3.200000,0.093333,0.066667,0.089449,0.065161,160.763865,0.817152,1.372733,0.728474,0.907489
49,0.004711,101.358491,32.586002,1.733333,3.346667,0.073333,0.080000,0.080730,0.074302,99.692134,0.741474,1.086513,0.920376,0.909871
50,0.003467,72.717949,39.779100,2.773333,3.386667,0.073333,0.066667,0.070752,0.062386,160.975262,0.858019,1.134105,0.881753,0.891429
