 ,Area,Mean,StdDev,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,0.003811,76.702624,15.697214,2.476667,1.016667,0.070000,0.070000,0.077443,0.062658,46.778314,0.927133,1.235961,0.809087,0.954103
2,0.003511,77.101266,35.326179,2.093333,1.040000,0.066667,0.073333,0.078038,0.057286,55.440170,0.869019,1.362243,0.734084,0.908046
3,0.004833,75.000000,0.000000,2.960000,1.093333,0.090000,0.066667,0.090677,0.067867,172.746974,0.894264,1.336107,0.748443,0.948746
4,0.003600,78.765432,32.406578,1.713333,1.166667,0.066667,0.066667,0.076544,0.059883,127.752073,0.873200,1.278233,0.782330,0.925714
5,0.002944,76.011321,11.619108,3.143333,1.243333,0.063333,0.066667,0.069120,0.054239,136.639237,0.754700,1.274347,0.784715,0.895270
6,0.004044,79.549451,30.641359,1.940000,1.260000,0.066667,0.073333,0.079075,0.065123,111.465767,0.875434,1.214243,0.823558,0.933333
7,0.003422,62.116883,33.508412,2.513333,1.326667,0.066667,0.073333,0.071625,0.060835,74.446428,0.818405,1.177369,0.849352,0.875000
8,0.003733,74.000000,0.000000,2.286667,1.336667,0.060000,0.080000,0.082736,0.057453,102.458386,0.877787,1.440075,0.694408,0.945148
9,0.003778,93.941176,29.544568,2.886667,1.353333,0.073333,0.073333,0.072998,0.065892,50.731236,0.639467,1.107834,0.902662,0.876289
10,0.003389,31.000000,0.000000,1.873333,1.560000,0.076667,0.056667,0.079029,0.054598,17.605965,0.881449,1.447472,0.690860,0.942813
11,0.003289,34.006757,22.979282,2.810000,1.560000,0.076667,0.056667,0.077272,0.054192,18.937727,0.870842,1.425898,0.701313,0.941176
12,0.004122,31.000000,0.000000,2.063333,1.606667,0.060000,0.083333,0.085120,0.061661,80.659013,0.880409,1.380462,0.724395,0.950064
13,0.003911,75.000000,0.000000,3.200000,1.646667,0.083333,0.063333,0.077091,0.064596,164.820249,0.617026,1.193445,0.837910,0.858537
14,0.003400,32.715686,17.271246,2.303333,1.670000,0.066667,0.070000,0.076593,0.056520,136.412498,0.909791,1.355151,0.737925,0.940092
15,0.003422,73.818182,34.235714,1.100000,1.686667,0.066667,0.073333,0.071722,0.060753,126.254501,0.806976,1.180554,0.847060,0.890173
16,0.003867,61.080460,31.783569,3.373333,1.686667,0.080000,0.073333,0.082730,0.059509,43.341805,0.841628,1.390220,0.719311,0.892308
17,0.004356,69.795918,32.488899,2.106667,1.826667,0.080000,0.080000,0.086561,0.064066,43.992878,0.768091,1.351126,0.740123,0.886878
18,0.003467,52.987179,31.464365,2.720000,1.833333,0.073333,0.060000,0.076501,0.057697,159.550009,0.870473,1.325912,0.754198,0.917647
19,0.003644,76.835366,16.543808,3.520000,1.876667,0.080000,0.060000,0.081874,0.056676,15.760898,0.856888,1.444596,0.692235,0.927864
20,0.003678,75.000000,0.000000,1.780000,1.923333,0.060000,0.080000,0.080768,0.057977,102.166983,0.864725,1.393101,0.717823,0.937677
21,0.004567,31.000000,0.000000,2.990000,1.930000,0.066667,0.090000,0.089295,0.065115,89.111013,0.870829,1.371330,0.729219,0.941581
22,0.004056,78.808219,22.721231,2.463333,1.993333,0.070000,0.076667,0.082521,0.062574,56.838471,0.909572,1.318764,0.758286,0.948052
23,0.003756,75.000000,0.000000,1.520000,2.036667,0.060000,0.083333,0.081101,0.058960,87.222902,0.876866,1.375534,0.726991,0.941504
24,0.003644,60.878049,39.159484,1.786667,2.100000,0.080000,0.066667,0.078954,0.058771,22.456152,0.831022,1.343414,0.744372,0.891304
25,0.003644,79.829268,34.725240,2.753333,2.106667,0.073333,0.060000,0.079067,0.058688,155.064888,0.854410,1.347255,0.742250,0.926554
26,0.003422,61.922078,37.968190,2.113333,2.173333,0.073333,0.073333,0.077418,0.056283,141.051192,0.806976,1.375519,0.726998,0.870056
27,0.004178,95.127660,30.113114,1.013333,2.220000,0.080000,0.073333,0.077746,0.068419,1.013838,0.880491,1.136325,0.880030,0.903846
28,0.003322,31.000000,0.000000,3.273333,2.263333,0.070000,0.063333,0.077777,0.054386,140.397245,0.912075,1.430078,0.699262,0.946203
29,0.003467,74.384615,29.391352,2.340000,2.266667,0.060000,0.073333,0.073681,0.059905,75.027243,0.840859,1.229954,0.813039,0.906977
30,0.003378,54.934211,37.811530,2.813333,2.326667,0.080000,0.053333,0.079018,0.054427,11.989851,0.848153,1.451812,0.688795,0.915663
31,0.003733,66.083333,38.231099,1.793333,2.453333,0.073333,0.073333,0.081018,0.058672,45.400231,0.851291,1.380865,0.724184,0.903226
32,0.003778,79.317647,38.753197,3.360000,2.473333,0.066667,0.080000,0.077765,0.061853,64.402220,0.715875,1.257251,0.795386,0.876289
33,0.003922,75.000000,0.000000,2.243333,2.496667,0.063333,0.083333,0.079840,0.062549,95.639592,0.894362,1.276450,0.783423,0.932629
34,0.003289,87.756757,35.754648,2.600000,2.500000,0.060000,0.080000,0.075945,0.055139,111.896847,0.814018,1.377317,0.726049,0.891566
35,0.003822,75.000000,0.000000,2.983333,2.543333,0.060000,0.080000,0.079562,0.061167,84.988247,0.898687,1.300736,0.768795,0.945055
36,0.004044,73.296703,30.522897,1.433333,2.593333,0.066667,0.073333,0.077254,0.066657,77.976053,0.904517,1.158981,0.862827,0.933333
37,0.002978,77.641791,40.322558,1.873333,2.613333,0.066667,0.060000,0.069640,0.054444,147.174020,0.845495,1.279113,0.781792,0.905405
