 ,Area,Mean,StdDev,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,0.004089,69.171196,43.968350,2.133333,0.986667,0.080000,0.066667,0.081503,0.063876,172.634973,0.873290,1.275956,0.783726,0.915423
2,0.004311,75.917526,41.899762,2.553333,1.120000,0.073333,0.086667,0.081589,0.067277,75.928995,0.842293,1.212723,0.824591,0.889908
3,0.004000,95.800000,34.509601,3.280000,1.180000,0.066667,0.080000,0.077609,0.065624,98.625421,0.882492,1.182634,0.845570,0.913706
4,0.003778,87.094118,36.966899,3.386667,1.460000,0.073333,0.066667,0.074652,0.064433,36.445490,0.873421,1.158608,0.863105,0.913978
5,0.003956,72.101124,40.980392,3.520000,1.540000,0.080000,0.066667,0.080302,0.062718,163.024354,0.844813,1.280371,0.781024,0.903553
6,0.003644,87.371951,30.442638,2.786667,1.593333,0.066667,0.066667,0.074393,0.062374,47.966979,0.842594,1.192692,0.838440,0.921348
7,0.004400,67.000000,35.920588,2.020000,1.600000,0.066667,0.086667,0.084622,0.066204,75.855487,0.870732,1.278206,0.782347,0.925234
8,0.001244,81.000000,0.000000,2.970000,1.623333,0.056667,0.063333,0.043570,0.036367,83.178325,0.138212,1.198063,0.834681,0.414815
9,0.004622,82.173077,38.401667,1.833333,1.626667,0.073333,0.080000,0.078310,0.075152,96.965902,0.887003,1.042020,0.959675,0.924444
10,0.003389,81.839344,10.348075,3.306667,1.686667,0.056667,0.076667,0.075982,0.056788,88.512184,0.881449,1.337984,0.747393,0.938462
11,0.004178,77.851064,43.765425,1.986667,1.780000,0.080000,0.066667,0.077504,0.068633,12.173252,0.892274,1.129255,0.885540,0.926108
12,0.002889,88.711538,42.120134,2.773333,1.780000,0.060000,0.063333,0.062551,0.058804,114.351694,0.945972,1.063727,0.940091,0.938628
13,0.004311,28.000000,0.000000,3.226667,1.813333,0.090000,0.063333,0.087170,0.062970,1.306099,0.853142,1.384326,0.722373,0.945189
14,0.004733,77.234742,17.309944,2.323333,1.886667,0.086667,0.070000,0.088833,0.067843,166.572169,0.889035,1.309388,0.763716,0.946667
15,0.004800,74.259259,43.705483,2.553333,1.893333,0.086667,0.066667,0.090661,0.067411,14.761206,0.867364,1.344901,0.743549,0.939130
16,0.003911,92.159091,32.365395,1.946667,1.913333,0.066667,0.080000,0.076081,0.065454,72.384105,0.835320,1.162358,0.860320,0.893401
17,0.004578,104.213592,30.614994,3.640000,1.913333,0.080000,0.080000,0.086656,0.067262,127.961621,0.841749,1.288332,0.776198,0.907489
18,0.004133,61.784946,43.278786,1.080000,2.026667,0.080000,0.060000,0.084547,0.062246,175.018154,0.866363,1.358256,0.736238,0.944162
19,0.003956,74.831461,45.355121,1.740000,2.093333,0.080000,0.066667,0.077910,0.064644,150.966490,0.844813,1.205218,0.829725,0.903553
20,0.003956,81.370787,37.390179,1.286667,2.213333,0.073333,0.073333,0.073838,0.068208,138.731555,0.901963,1.082547,0.923747,0.912821
21,0.004978,87.660714,37.153182,1.093333,2.226667,0.073333,0.086667,0.088175,0.071879,100.763443,0.862964,1.226724,0.815179,0.918033
22,0.002978,70.626866,37.016784,3.360000,2.293333,0.066667,0.060000,0.064115,0.059134,33.291457,0.911953,1.084230,0.922314,0.911565
23,0.005022,71.309735,44.239437,2.813333,2.313333,0.093333,0.073333,0.088718,0.072076,178.666431,0.836018,1.230891,0.812419,0.907631
24,0.003011,47.583026,56.674963,1.763333,2.343333,0.063333,0.060000,0.064697,0.059258,14.349707,0.947828,1.091784,0.915932,0.944251
25,0.004667,79.219048,40.870943,2.033333,2.366667,0.080000,0.080000,0.083384,0.071258,131.897733,0.833019,1.170172,0.854575,0.897436
26,0.004089,75.788043,10.674968,2.663333,2.396667,0.080000,0.073333,0.081042,0.064240,46.970750,0.584979,1.261548,0.792677,0.896468
27,0.003778,75.000000,0.000000,3.300000,2.476667,0.063333,0.083333,0.078758,0.061073,90.525127,0.754432,1.289571,0.775452,0.910308
28,0.004711,98.198113,34.013325,2.026667,2.493333,0.073333,0.086667,0.085164,0.070433,62.623501,0.840953,1.209157,0.827022,0.913793
29,0.005111,87.913043,33.740924,1.300000,2.500000,0.086667,0.080000,0.088053,0.073906,26.637321,0.850815,1.191415,0.839338,0.909091
30,0.003656,75.000000,0.000000,3.703333,2.596667,0.063333,0.086667,0.082590,0.056356,69.706781,0.788155,1.465511,0.682356,0.916435
31,0.004100,81.000000,0.000000,2.386667,2.736667,0.073333,0.076667,0.084766,0.061584,53.775709,0.818780,1.376427,0.726519,0.931818
32,0.003778,107.400000,29.323624,1.086667,2.806667,0.073333,0.066667,0.075066,0.064077,30.501033,0.796189,1.171496,0.853609,0.899471
33,0.003733,54.630952,47.892860,1.853333,2.806667,0.073333,0.066667,0.073654,0.064537,21.554370,0.797351,1.141258,0.876226,0.893617
34,0.004044,86.373626,35.226977,2.126667,2.833333,0.080000,0.066667,0.082417,0.062482,160.590694,0.836641,1.319052,0.758120,0.905473
35,0.004044,73.791209,44.159120,2.446667,2.880000,0.073333,0.073333,0.081076,0.063515,39.656310,0.852391,1.276478,0.783405,0.919192
36,0.004533,71.990196,41.657429,1.546667,2.960000,0.093333,0.066667,0.088829,0.064979,6.732977,0.833576,1.367041,0.731507,0.906667
37,0.004044,93.813187,35.554920,1.726667,2.960000,0.073333,0.066667,0.078435,0.065654,144.785959,0.847732,1.194676,0.837047,0.928571
38,0.003600,75.728395,43.454260,3.040000,2.993333,0.080000,0.060000,0.077644,0.059034,16.994896,0.860919,1.315231,0.760323,0.910112
39,0.003911,72.931818,41.318386,2.613333,3.013333,0.066667,0.073333,0.076808,0.064834,72.522231,0.874698,1.184686,0.844105,0.926316
40,0.003722,82.546269,14.087306,2.373333,3.043333,0.073333,0.076667,0.071937,0.065881,141.330745,0.561739,1.091927,0.915812,0.878113
41,0.002500,87.186667,39.106777,1.980000,3.083333,0.056667,0.053333,0.059229,0.053742,156.948074,0.980547,1.102096,0.907362,0.953390
42,0.004222,76.063158,35.700546,3.340000,3.140000,0.066667,0.080000,0.077974,0.068945,77.073015,0.846383,1.130961,0.884204,0.913462
43,0.004533,79.382353,36.138430,3.040000,3.153333,0.073333,0.086667,0.084221,0.068534,70.962948,0.859051,1.228903,0.813734,0.910714
44,0.004144,78.833780,23.129352,2.593333,3.253333,0.066667,0.080000,0.080708,0.065382,107.502375,0.929507,1.234415,0.810100,0.949109
45,0.004056,76.523288,14.492614,2.040000,3.403333,0.066667,0.076667,0.078117,0.066102,99.473673,0.946912,1.181761,0.846195,0.958005
46,0.004000,78.355556,37.930683,1.873333,3.406667,0.066667,0.073333,0.074751,0.068132,92.443312,0.865814,1.097151,0.911451,0.927835
47,0.003356,82.175497,30.389372,1.903333,3.600000,0.070000,0.063333,0.068031,0.062802,166.317372,0.830519,1.083260,0.923139,0.913767
48,0.004133,74.279570,38.898130,2.586667,3.746667,0.073333,0.073333,0.077334,0.068052,141.613965,0.882782,1.136389,0.879980,0.916256
