 ,Area,Mean,StdDev,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,0.003889,77.000000,0.000000,2.690000,0.876667,0.083333,0.063333,0.082700,0.059873,18.249756,0.872192,1.381254,0.723980,0.938338
2,0.004756,87.000000,34.897776,1.900000,0.913333,0.080000,0.080000,0.084368,0.071768,123.091334,0.874438,1.175562,0.850657,0.914530
3,0.004222,89.471053,39.238150,1.693333,0.940000,0.086667,0.073333,0.087868,0.061182,35.497089,0.800096,1.436177,0.696293,0.883721
4,0.003500,78.257143,12.840790,2.020000,1.016667,0.073333,0.063333,0.077186,0.057735,150.441236,0.721241,1.336883,0.748009,0.930576
5,0.003522,73.287066,21.910266,2.316667,1.113333,0.060000,0.070000,0.074584,0.060129,109.199201,0.939589,1.240397,0.806194,0.963526
6,0.004267,56.739583,44.890873,1.246667,1.160000,0.073333,0.086667,0.081722,0.066475,86.076158,0.833610,1.229362,0.813430,0.888889
7,0.004444,78.570000,39.311941,1.440000,1.380000,0.073333,0.080000,0.078026,0.072525,70.552762,0.879528,1.075861,0.929488,0.913242
8,0.003200,64.027778,41.342614,2.660000,1.380000,0.060000,0.073333,0.070308,0.057950,74.597995,0.832319,1.213249,0.824233,0.888889
9,0.003333,75.080000,44.513802,1.306667,1.420000,0.073333,0.060000,0.076970,0.055140,24.844207,0.866999,1.395890,0.716389,0.914634
10,0.005956,92.679104,37.054867,0.973333,1.480000,0.100000,0.080000,0.102436,0.074025,150.072373,0.747714,1.383792,0.722652,0.905405
11,0.004156,48.703209,55.471125,1.803333,1.493333,0.076667,0.066667,0.079555,0.066507,16.855533,0.938401,1.196191,0.835987,0.954082
12,0.003522,80.331230,20.736611,2.206667,1.536667,0.076667,0.060000,0.078539,0.057101,160.306803,0.893536,1.375452,0.727033,0.940653
13,0.003367,85.953795,32.872388,2.353333,1.556667,0.070000,0.063333,0.068629,0.062460,177.974031,0.941382,1.098752,0.910123,0.945398
14,0.004889,64.781818,43.475520,2.026667,1.620000,0.080000,0.080000,0.085176,0.073080,128.568458,0.813823,1.165518,0.857987,0.905350
15,0.004622,65.163462,36.565336,1.253333,1.640000,0.066667,0.080000,0.084583,0.069579,87.484023,0.871354,1.215645,0.822608,0.949772
16,0.004444,82.810000,38.342526,0.773333,1.713333,0.093333,0.066667,0.088137,0.064205,156.827551,0.842206,1.372745,0.728467,0.913242
17,0.004444,73.190000,39.627260,2.780000,1.713333,0.066667,0.080000,0.082840,0.068311,83.907358,0.890929,1.212697,0.824608,0.938967
18,0.003756,90.680473,40.967726,1.890000,1.750000,0.070000,0.076667,0.078224,0.061128,49.994562,0.885577,1.279675,0.781448,0.938889
19,0.004178,73.521277,45.600170,2.320000,1.820000,0.073333,0.080000,0.079400,0.066993,119.431310,0.826756,1.185198,0.843741,0.886792
20,0.004533,85.872549,33.153258,1.340000,1.886667,0.080000,0.080000,0.080882,0.071364,127.631173,0.833576,1.133379,0.882317,0.898678
21,0.003833,86.162319,32.159618,1.980000,2.036667,0.083333,0.063333,0.080436,0.060678,16.152572,0.795130,1.325621,0.754364,0.927419
22,0.002622,30.593220,17.269941,1.646667,2.070000,0.063333,0.053333,0.061987,0.053862,15.387919,0.901518,1.150852,0.868922,0.930966
23,0.004444,65.150000,45.910750,0.733333,2.086667,0.080000,0.080000,0.082323,0.068740,50.919537,0.817232,1.197594,0.835008,0.892857
24,0.003878,77.000000,0.000000,1.946667,2.193333,0.070000,0.080000,0.078553,0.062853,55.122629,0.746097,1.249787,0.800136,0.908854
25,0.004156,77.000000,0.000000,0.980000,2.283333,0.086667,0.063333,0.085329,0.062007,4.290368,0.867660,1.376129,0.726676,0.932668
26,0.004333,29.000000,0.000000,2.206667,2.300000,0.066667,0.080000,0.081724,0.067513,103.763109,0.940579,1.210496,0.826107,0.958231
27,0.004267,75.187500,40.592302,1.466667,2.313333,0.086667,0.066667,0.084034,0.064646,0.009061,0.818772,1.299904,0.769288,0.893023
28,0.005111,83.904348,39.679099,1.960000,2.346667,0.086667,0.086667,0.093867,0.069328,48.295743,0.817615,1.353956,0.738576,0.901961
29,0.004711,80.877358,40.851852,2.946667,2.353333,0.086667,0.080000,0.087289,0.068718,34.395113,0.830792,1.270243,0.787251,0.890756
30,0.004356,73.255102,40.995617,2.320000,2.360000,0.086667,0.066667,0.084763,0.065425,13.538620,0.861937,1.295575,0.771858,0.911628
31,0.003922,70.000000,0.000000,1.726667,2.373333,0.080000,0.060000,0.082779,0.060328,14.535590,0.891815,1.372152,0.728782,0.954054
32,0.003911,88.988636,38.602804,1.793333,2.493333,0.073333,0.060000,0.077412,0.064328,3.915927,0.916927,1.203385,0.830989,0.956522
33,0.004400,77.626263,8.801134,2.036667,2.520000,0.066667,0.090000,0.085937,0.065190,84.443504,0.878691,1.318242,0.758586,0.940618
