 ,Area,Mean,StdDev,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,0.004333,70.000000,0.000000,2.553333,1.353333,0.063333,0.090000,0.087268,0.063223,87.712153,0.780231,1.380325,0.724467,0.924171
2,0.004044,74.736264,38.963099,1.526667,1.373333,0.066667,0.080000,0.077936,0.066074,98.818211,0.863797,1.179520,0.847802,0.910000
3,0.003867,76.356322,44.955303,1.473333,1.540000,0.080000,0.066667,0.083510,0.058953,25.014026,0.799866,1.416545,0.705943,0.896907
4,0.003478,71.000000,0.000000,2.090000,1.583333,0.076667,0.063333,0.078878,0.056138,146.541169,0.875884,1.405085,0.711701,0.927407
5,0.003911,68.511364,39.197649,1.793333,1.666667,0.073333,0.073333,0.079530,0.062615,154.360921,0.835320,1.270156,0.787305,0.897959
6,0.003556,93.350000,38.627584,1.146667,1.686667,0.080000,0.060000,0.076154,0.059447,165.332645,0.850291,1.281047,0.780612,0.898876
7,0.004444,89.480000,34.937389,2.266667,1.746667,0.080000,0.080000,0.088069,0.064255,128.401399,0.793352,1.370613,0.729601,0.888889
8,0.003022,71.000000,0.000000,3.393333,1.760000,0.073333,0.053333,0.072003,0.053443,4.381880,0.925565,1.347290,0.742231,0.944444
9,0.003956,61.505618,38.644971,1.173333,1.893333,0.066667,0.080000,0.079659,0.063224,101.683436,0.844813,1.259962,0.793675,0.908163
10,0.004178,95.000000,39.173869,1.733333,1.953333,0.073333,0.080000,0.079967,0.066519,113.898343,0.801714,1.202168,0.831830,0.882629
11,0.003778,85.058824,36.735313,1.000000,2.053333,0.066667,0.080000,0.078624,0.061177,83.797535,0.833465,1.285194,0.778093,0.890052
12,0.003822,89.674419,34.875018,2.186667,2.093333,0.066667,0.080000,0.076666,0.063478,110.536975,0.843270,1.207770,0.827972,0.895833
13,0.003478,70.939297,11.731757,2.846667,2.110000,0.060000,0.076667,0.075081,0.058977,98.549175,0.779989,1.273053,0.785513,0.909884
14,0.004089,87.706522,34.691490,1.326667,2.146667,0.073333,0.080000,0.081600,0.063801,55.248502,0.834841,1.278981,0.781873,0.888889
