 ,Area,Mean,StdDev,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,0.002389,164.553488,0.851428,2.186667,0.640000,0.160000,0.020000,0.168792,0.018020,177.807880,0.256018,9.366966,0.106758,0.918803
2,0.004533,93.725490,36.051330,2.073333,0.706667,0.080000,0.080000,0.083961,0.068746,127.264065,0.833576,1.221313,0.818791,0.890830
3,0.003800,39.000000,0.000000,2.263333,0.720000,0.080000,0.060000,0.079251,0.061050,4.448401,0.893462,1.298126,0.770341,0.947368
4,0.004178,104.095745,31.612679,1.706667,0.980000,0.073333,0.073333,0.082215,0.064700,132.936485,0.801714,1.270703,0.786966,0.903846
5,0.003556,89.162500,35.711292,2.940000,1.040000,0.066667,0.073333,0.075682,0.059817,116.491134,0.850291,1.265222,0.790375,0.898876
6,0.004133,88.806452,34.954652,2.226667,1.120000,0.066667,0.080000,0.077926,0.067535,86.261677,0.911909,1.153863,0.866654,0.934673
7,0.004578,59.640777,36.083670,2.873333,1.273333,0.066667,0.086667,0.085674,0.068033,77.517686,0.878474,1.259308,0.794087,0.927928
8,0.004578,95.155340,37.134007,2.373333,1.313333,0.080000,0.073333,0.087077,0.066937,33.833752,0.905913,1.300884,0.768708,0.936364
9,0.005378,67.780992,40.229332,1.373333,1.366667,0.100000,0.080000,0.093585,0.073166,165.386232,0.763470,1.279082,0.781811,0.870504
10,0.003811,121.072886,47.947314,1.950000,1.406667,0.066667,0.070000,0.075404,0.064353,127.000098,0.917871,1.171724,0.853443,0.946207
11,0.005467,76.186992,39.931377,1.640000,1.426667,0.093333,0.080000,0.094263,0.073840,151.283558,0.818500,1.276596,0.783333,0.904412
12,0.003300,69.070707,51.439203,1.370000,1.510000,0.070000,0.063333,0.070756,0.059383,26.638029,0.939977,1.191525,0.839260,0.942857
13,0.003700,131.777778,50.480151,1.653333,1.606667,0.086667,0.053333,0.086325,0.054573,4.659281,0.869950,1.581837,0.632176,0.952790
14,0.003867,88.011494,38.750066,2.413333,1.620000,0.073333,0.073333,0.073801,0.066709,107.063157,0.825828,1.106309,0.903906,0.887755
15,0.003733,85.000000,0.000000,2.073333,1.666667,0.066667,0.070000,0.076896,0.061816,126.349172,0.914711,1.243946,0.803893,0.954545
16,0.003956,81.483146,34.740442,1.753333,1.700000,0.073333,0.066667,0.076735,0.065633,8.134215,0.884638,1.169140,0.855330,0.922280
17,0.003867,93.632184,34.750362,2.220000,1.800000,0.073333,0.073333,0.073951,0.066573,62.509428,0.853076,1.110822,0.900234,0.892308
18,0.003867,71.701149,41.420349,1.586667,1.880000,0.080000,0.066667,0.077416,0.063594,158.152459,0.853076,1.217348,0.821457,0.901554
19,0.004089,67.472826,43.046130,2.633333,1.900000,0.073333,0.073333,0.076581,0.067982,59.387006,0.873290,1.126502,0.887703,0.910891
