 ,Area,Mean,StdDev,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,0.003378,77.236842,41.348513,2.780000,1.166667,0.080000,0.060000,0.078563,0.054742,9.852232,0.745216,1.435140,0.696796,0.868571
2,0.003511,78.493671,40.501891,2.460000,1.193333,0.080000,0.060000,0.077859,0.057418,23.764969,0.839662,1.356001,0.737463,0.908046
3,0.003611,75.910769,11.592145,2.153333,1.276667,0.076667,0.056667,0.081221,0.056608,10.856650,0.891118,1.434797,0.696963,0.957290
4,0.003811,82.241983,30.817465,3.086667,1.440000,0.070000,0.073333,0.075260,0.064476,48.021695,0.920569,1.167269,0.856701,0.943604
5,0.003011,76.350554,27.386243,2.696667,1.446667,0.070000,0.060000,0.071242,0.053815,34.981511,0.880694,1.323839,0.755379,0.920204
6,0.002989,76.561338,14.729430,3.366667,1.496667,0.070000,0.053333,0.073022,0.052115,23.214718,0.888000,1.401163,0.713693,0.952212
7,0.003911,87.818182,36.846813,3.140000,1.680000,0.080000,0.066667,0.084131,0.059191,32.820745,0.835320,1.421363,0.703550,0.902564
8,0.003778,71.000000,0.000000,2.740000,1.710000,0.083333,0.056667,0.084776,0.056738,169.884132,0.873421,1.494174,0.669266,0.947075
9,0.002978,79.447761,44.728824,3.880000,1.786667,0.066667,0.060000,0.065979,0.057464,25.474926,0.911953,1.148164,0.870956,0.911565
10,0.003167,22.000000,0.000000,3.616667,1.883333,0.066667,0.070000,0.078111,0.051618,43.398145,0.832288,1.513251,0.660829,0.922330
11,0.003867,87.804598,42.595298,1.406667,1.926667,0.066667,0.073333,0.078117,0.063024,110.859051,0.864758,1.239481,0.806789,0.920635
12,0.002844,86.265625,41.010087,1.980000,1.940000,0.066667,0.053333,0.069247,0.052300,154.930941,0.807637,1.324032,0.755269,0.914286
13,0.004133,81.698925,36.488387,3.306667,1.986667,0.086667,0.073333,0.086439,0.060884,145.810647,0.807560,1.419725,0.704362,0.881517
14,0.003611,24.953846,23.668512,2.440000,1.996667,0.073333,0.070000,0.080100,0.057401,144.532731,0.887388,1.395439,0.716620,0.929900
15,0.004100,71.000000,0.000000,2.943333,2.020000,0.063333,0.083333,0.081804,0.063815,95.736814,0.686537,1.281900,0.780092,0.924812
16,0.003456,71.000000,0.000000,2.703333,2.106667,0.073333,0.066667,0.081530,0.053965,140.286785,0.870287,1.510793,0.661904,0.938160
17,0.004356,84.091837,37.340237,2.226667,2.133333,0.073333,0.080000,0.082872,0.066919,65.944871,0.835830,1.238400,0.807493,0.907407
18,0.003000,22.000000,0.000000,3.893333,2.200000,0.076667,0.050000,0.076919,0.049659,11.402304,0.867840,1.548946,0.645600,0.940767
19,0.002989,22.000000,0.000000,3.406667,2.210000,0.056667,0.066667,0.071794,0.053007,122.426105,0.905106,1.354439,0.738313,0.953901
20,0.003522,79.728707,24.980668,1.946667,2.256667,0.070000,0.066667,0.076946,0.058283,142.185053,0.909423,1.320231,0.757443,0.944858
21,0.003967,75.602241,25.848930,1.363333,2.296667,0.063333,0.083333,0.083499,0.060486,100.374030,0.875138,1.380453,0.724400,0.937008
22,0.003867,87.919540,39.377935,2.980000,2.373333,0.073333,0.066667,0.079286,0.062094,39.161802,0.864758,1.276862,0.783170,0.920635
23,0.003989,78.214485,21.321985,2.303333,2.426667,0.070000,0.073333,0.076262,0.066597,62.096754,0.900765,1.145135,0.873259,0.945982
24,0.003244,96.328767,37.583741,2.626667,2.460000,0.060000,0.066667,0.070656,0.058466,108.697090,0.887939,1.208489,0.827479,0.924051
25,0.003500,73.288889,18.053945,3.563333,2.493333,0.070000,0.073333,0.082314,0.054138,46.683454,0.831130,1.520440,0.657704,0.921053
26,0.004444,79.670000,44.340233,3.813333,2.540000,0.093333,0.066667,0.088439,0.063986,170.259339,0.842206,1.382166,0.723502,0.909091
27,0.003378,71.000000,0.000000,2.903333,2.616667,0.060000,0.076667,0.073947,0.058160,103.842398,0.887774,1.271435,0.786513,0.945568
28,0.003956,84.890449,36.851691,1.546667,2.640000,0.073333,0.070000,0.079389,0.063439,40.423709,0.908211,1.251428,0.799087,0.949333
29,0.003322,73.381271,18.290766,2.546667,2.703333,0.080000,0.060000,0.079881,0.052954,162.554179,0.653247,1.508505,0.662908,0.888559
